carat,cut,color,clarity,depth,table,price,x,y,z
1.69,Premium,G,VVS2,62.9,58.0,15889,7.59,7.51,4.75
0.3,Ideal,F,IF,62.3,53.0,886,4.34,4.36,2.71
0.77,Ideal,D,SI2,60.6,56.0,2922,5.95,5.9,3.59
0.9,Ideal,E,SI2,62.0,55.0,3599,6.23,6.15,3.84
1.03,Premium,D,SI1,60.5,61.0,5410,6.47,6.43,3.9
1.5,Premium,G,SI2,58.3,61.0,6720,7.55,7.4,4.34
0.36,Ideal,E,VS2,61.2,56.0,1013,4.63,4.59,2.82
1.54,Premium,F,VS2,62.4,59.0,14578,7.43,7.38,4.62
0.7,Very Good,I,SI2,63.4,59.0,1775,5.66,5.57,3.56
0.52,Very Good,D,VS2,63.4,56.0,1828,5.16,5.09,3.25
0.55,Ideal,G,VS2,60.1,55.0,1634,5.33,5.37,3.22
1.02,Very Good,H,SI1,60.3,59.0,4476,6.44,6.5,3.9
1.63,Ideal,F,I1,62.0,55.0,7229,7.57,7.5,4.68
1.06,Ideal,G,VS2,61.9,54.0,6890,6.54,6.58,4.06
0.55,Very Good,H,VS2,62.0,55.2,1548,5.28,5.31,3.28
0.9,Premium,I,VS2,58.4,62.0,3276,6.35,6.29,3.69
1.1,Very Good,I,SI1,63.5,57.0,3573,6.55,6.53,4.15
0.92,Fair,I,VS2,64.4,58.0,3033,6.13,6.1,3.94
1.09,Premium,I,VS2,61.3,58.0,4659,6.63,6.58,4.05
0.39,Very Good,J,VS2,63.3,56.0,746,4.63,4.6,2.92
0.34,Ideal,D,IF,62.1,57.0,2346,4.52,4.46,2.79
2.01,Very Good,J,VS1,60.2,61.0,12845,8.16,8.23,4.93
0.32,Very Good,F,VS2,62.8,57.0,645,4.33,4.36,2.73
0.7,Very Good,E,SI1,63.1,58.0,2643,5.61,5.64,3.55
0.71,Premium,H,SI2,62.4,56.0,2028,5.7,5.64,3.54
0.36,Ideal,D,SI1,62.8,57.0,794,4.54,4.51,2.84
0.31,Ideal,G,SI1,62.8,55.0,593,4.38,4.32,2.73
0.4,Ideal,I,VVS2,61.4,56.0,1240,4.76,4.79,2.93
0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3.46
0.96,Fair,I,SI2,66.3,58.0,2540,6.07,5.9,3.97
1.06,Very Good,G,VVS2,62.9,56.0,7695,6.56,6.6,4.14
0.94,Very Good,G,VS2,62.9,58.6,4488,6.1,6.25,3.89
0.71,Good,I,VS2,64.0,59.0,1840,5.61,5.55,3.57
0.31,Good,D,SI1,63.4,58.0,571,4.32,4.35,2.75
0.5,Ideal,G,VVS1,62.2,56.0,1897,5.08,5.11,3.17
0.38,Premium,D,SI2,61.1,58.0,812,4.68,4.62,2.84
0.32,Premium,F,VS2,61.4,60.0,645,4.38,4.42,2.7
2.12,Premium,J,SI2,62.3,61.0,12140,8.21,8.16,5.1
1.21,Premium,G,VVS2,58.5,58.0,9541,7.06,6.95,4.1
1.5,Ideal,I,VS1,61.3,57.0,9900,7.32,7.35,4.5
1.5,Very Good,J,VVS2,62.8,62.0,7840,7.22,7.25,4.54
1.11,Premium,H,SI2,61.9,59.0,4973,6.6,6.56,4.07
0.59,Premium,H,VVS2,62.3,55.0,1886,5.42,5.33,3.35
0.93,Premium,J,SI2,61.9,57.0,2807,6.21,6.19,3.84
1.17,Very Good,F,VS2,62.4,56.0,7432,6.71,6.76,4.2
0.34,Ideal,D,VS2,62.1,55.0,923,4.49,4.46,2.78
1.71,Premium,H,SI2,62.5,57.0,10687,7.67,7.62,4.78
0.32,Ideal,E,VVS1,61.7,55.0,879,4.38,4.41,2.71
1.52,Ideal,F,SI2,61.2,57.0,9057,7.45,7.39,4.54
0.8,Premium,H,SI2,61.6,59.0,2409,5.92,5.86,3.63
0.53,Very Good,E,VVS2,63.1,60.0,2043,5.12,5.08,3.22
0.31,Ideal,G,VS2,62.4,55.0,544,4.3,4.32,2.69
0.72,Premium,F,SI1,59.9,58.0,2742,5.85,5.81,3.49
0.7,Premium,E,VS2,61.1,58.0,2496,5.78,5.7,3.51
0.9,Good,D,SI2,63.8,58.0,3806,6.09,6.13,3.9
0.41,Ideal,F,SI1,62.7,57.0,755,4.7,4.74,2.96
0.36,Ideal,D,VS1,61.8,55.0,781,4.54,4.58,2.82
0.3,Very Good,F,VS2,63.0,55.0,524,4.28,4.29,2.7
0.9,Good,G,SI1,62.2,62.5,3816,6.08,6.1,3.78
1.11,Ideal,G,IF,61.2,54.0,10053,6.71,6.73,4.11
0.7,Good,F,VS1,59.1,62.0,2877,5.82,5.86,3.44
1.0,Good,E,VS2,63.8,58.0,6272,6.31,6.19,3.99
1.0,Good,H,SI2,62.7,58.0,4125,6.31,6.33,3.96
1.31,Very Good,H,VS2,61.4,59.0,7415,6.96,7.01,4.29
0.7,Premium,D,VS2,60.9,57.0,2909,5.71,5.69,3.47
0.7,Very Good,E,SI1,62.7,55.0,2575,5.63,5.67,3.54
0.74,Very Good,F,SI1,62.7,58.0,2715,5.71,5.78,3.6
1.01,Premium,F,VS2,62.1,60.0,5988,6.36,6.43,3.97
0.3,Ideal,H,VS1,62.5,56.0,526,4.24,4.27,2.66
2.01,Fair,G,VS2,67.5,55.0,17917,7.7,7.79,5.23
0.71,Premium,H,VS1,62.4,58.0,2572,5.73,5.68,3.56
1.65,Premium,G,I1,62.0,59.0,6912,7.57,7.53,4.68
1.22,Premium,D,VS2,62.0,60.0,9756,6.79,6.74,4.22
0.31,Ideal,G,VS2,61.5,56.0,652,4.34,4.36,2.68
0.54,Ideal,F,VS2,62.3,56.0,1786,5.2,5.17,3.23
1.0,Good,E,SI1,57.2,62.0,5345,6.59,6.56,3.76
0.23,Very Good,D,VS2,62.7,58.0,362,3.86,3.89,2.43
0.52,Ideal,D,VS2,61.5,56.0,1822,5.15,5.19,3.18
0.57,Premium,D,VS1,60.6,59.0,2360,5.38,5.32,3.24
0.39,Ideal,F,VVS2,62.0,54.0,988,4.7,4.72,2.92
0.33,Ideal,E,VVS2,60.9,56.0,814,4.45,4.48,2.72
2.01,Ideal,I,SI1,59.9,60.0,17126,8.27,8.2,4.93
1.51,Ideal,H,VS2,62.5,55.0,-1,7.29,7.34,4.57
0.53,Ideal,D,SI1,61.2,57.0,1706,5.24,5.19,3.19
2.02,Premium,I,VS2,59.2,58.0,13068,8.29,8.25,4.89
0.32,Ideal,F,VS1,62.0,54.0,876,4.44,4.43,2.75
0.9,Premium,F,SI2,61.4,58.0,3556,6.19,6.13,3.78
0.3,Premium,G,VVS2,62.1,59.0,878,4.27,4.23,2.64
0.43,Ideal,G,VVS2,61.9,55.0,1129,4.86,4.84,3.0
1.2,Very Good,H,VVS1,63.3,56.0,6672,6.75,6.7,4.26
2.3,Ideal,I,VS2,62.6,56.0,18190,8.45,8.4,5.27
0.53,Premium,F,VS2,60.6,58.0,2290,5.26,5.2,3.17
1.2,Very Good,H,SI2,63.5,57.0,5221,6.67,6.71,4.25
0.9,Good,G,SI1,62.5,62.0,4008,6.04,6.09,3.79
0.36,Ideal,D,SI1,62.0,56.0,663,4.55,4.61,2.84
0.6,Premium,F,SI2,58.9,59.0,1378,5.55,5.52,3.26
1.01,Premium,F,VS1,61.7,58.0,7507,6.43,6.4,3.96
0.3,Ideal,F,VVS1,61.4,56.0,1041,4.33,4.37,2.67
0.91,Premium,E,VS1,61.9,59.0,5167,6.23,6.17,3.84
1.0,Fair,D,VVS2,61.1,57.0,10562,6.37,6.3,3.87
0.32,Ideal,E,VS2,62.0,55.0,900,4.46,4.38,2.74
1.04,Premium,G,SI1,60.9,59.0,5017,6.57,6.53,3.99
0.51,Very Good,D,SI1,63.2,55.0,1562,5.12,5.07,3.22
1.01,Premium,H,VS2,61.3,59.0,4959,6.44,6.48,3.96
1.57,Ideal,G,SI1,61.8,55.0,11596,7.43,7.49,4.61
1.51,Premium,H,VS2,60.2,60.0,11540,7.35,7.33,4.42
2.01,Very Good,I,VS1,62.9,59.0,18041,7.94,8.03,5.02
1.2,Premium,H,SI2,62.4,61.0,5040,6.81,6.78,4.24
0.53,Ideal,I,VS1,61.6,57.0,1383,5.21,5.18,3.2
2.2,Premium,I,VS2,58.9,60.0,17905,8.63,8.52,5.05
0.65,Ideal,D,VVS1,61.8,57.0,4022,5.54,5.56,3.43
0.5,Premium,D,SI1,62.3,58.0,1654,5.07,5.04,3.15
0.56,Ideal,E,VS1,61.1,56.0,2010,5.29,5.34,3.25
1.01,Ideal,D,VVS2,61.6,57.0,12996,6.44,6.48,3.98
0.52,Ideal,E,VS2,61.2,56.0,1947,5.2,5.16,3.17
1.13,Very Good,F,SI1,63.2,56.0,5584,6.66,6.69,4.22
0.79,Premium,D,SI2,60.0,60.0,2853,6.07,6.03,3.63
0.52,Premium,E,SI2,61.8,54.0,1229,5.18,5.15,3.19
0.44,Very Good,G,SI1,61.6,61.0,772,4.83,4.88,2.99
0.41,Ideal,G,SI2,61.5,55.0,648,4.76,4.8,2.94
1.01,Premium,F,VS1,61.4,60.0,7792,6.45,6.39,3.94
0.9,Very Good,H,SI2,59.6,59.0,3250,6.38,6.24,3.76
1.12,Good,F,VS2,63.8,57.0,6925,6.59,6.61,4.21
0.32,Good,I,SI1,63.5,57.0,421,4.3,4.33,2.74
0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,3.54
0.4,Ideal,G,VVS1,62.3,54.0,1043,4.75,4.76,2.96
0.3,Ideal,H,VS2,62.1,56.0,491,4.32,4.34,2.69
0.24,Premium,E,VVS1,60.7,58.0,710,4.03,4.01,2.44
0.39,Ideal,E,VS2,60.8,57.0,875,4.73,4.75,2.88
0.52,Very Good,G,VVS1,62.3,55.0,2040,5.13,5.15,3.2
1.25,Very Good,J,SI1,62.5,57.0,4702,6.83,6.86,4.28
1.17,Very Good,D,SI2,60.9,60.0,6062,6.72,6.78,4.11
0.36,Ideal,D,VS2,60.6,57.0,1094,4.61,4.57,2.78
1.0,Ideal,G,VVS1,61.9,57.0,8366,6.43,6.39,3.97
1.12,Premium,E,SI2,61.1,58.0,5620,6.73,6.69,4.1
1.2,Fair,I,I1,62.2,66.0,3011,6.77,6.7,4.2
0.34,Ideal,G,SI1,61.8,54.4,531,4.49,4.52,2.79
2.04,Very Good,I,VS2,62.5,58.0,16874,8.09,8.22,5.1
1.53,Premium,H,SI2,61.5,60.0,6512,7.46,7.39,4.56
0.25,Very Good,E,VVS2,61.1,61.0,533,4.03,4.06,2.47
0.71,Good,D,SI2,56.6,63.0,2015,5.9,5.76,3.3
0.32,Ideal,H,VS1,62.1,55.0,524,4.39,4.4,2.73
1.5,Premium,D,SI1,60.5,59.0,11489,7.44,7.39,4.49
0.6,Ideal,F,VS1,61.9,55.0,2201,5.4,5.42,3.35
0.39,Premium,J,VVS1,61.8,56.0,921,4.71,4.64,2.89
0.54,Ideal,G,VS1,61.0,57.0,1957,5.25,5.28,3.21
0.91,Good,H,SI1,63.8,56.0,3323,6.09,6.04,3.87
0.43,Premium,D,SI1,62.4,60.0,796,4.79,4.82,3.0
1.52,Premium,D,SI2,60.6,62.0,9561,7.42,7.37,4.48
0.72,Ideal,E,SI1,60.8,57.0,3409,5.77,5.8,3.52
2.06,Ideal,F,SI2,62.7,57.0,15970,8.19,8.09,5.1
0.7,Good,E,VS1,58.7,60.0,3148,5.79,5.83,3.41
0.45,Premium,I,SI2,60.1,59.0,830,4.96,4.92,3.02
0.4,Ideal,H,SI2,62.2,55.0,540,4.75,4.77,2.96
1.11,Premium,D,VS2,59.5,60.0,6579,6.77,6.7,4.01
1.32,Very Good,H,SI1,62.4,58.0,7119,7.02,7.09,4.4
0.61,Ideal,H,VS1,60.8,56.0,2053,5.51,5.47,3.34
1.11,Ideal,I,SI1,62.4,55.0,4273,6.6,6.64,4.13
1.02,Premium,F,SI1,62.2,58.0,5089,6.4,6.46,4.0
0.82,Ideal,G,VS1,61.9,54.0,3880,5.99,6.03,3.72
0.4,Very Good,G,SI1,59.2,61.0,702,4.78,4.81,2.84
0.52,Premium,G,SI2,58.8,62.0,1196,5.31,5.3,3.12
0.3,Very Good,G,VVS2,63.1,56.0,878,4.23,4.2,2.66
1.36,Premium,I,VS1,62.0,59.0,7592,7.1,7.06,4.39
0.41,Very Good,G,VS1,60.6,56.0,976,4.83,4.87,2.94
2.21,Ideal,G,SI2,60.1,60.0,15948,8.47,8.53,5.11
0.32,Good,E,VS2,57.0,60.0,780,4.6,4.53,2.6
1.1,Ideal,E,SI2,61.6,56.0,5359,6.66,6.63,4.09
1.02,Good,E,SI2,63.4,57.0,4712,6.41,6.43,4.07
0.73,Very Good,H,VS1,61.6,59.0,2641,5.74,5.81,3.56
0.3,Ideal,E,VS2,62.3,56.0,844,4.34,4.3,2.69
0.29,Very Good,G,VS2,61.7,56.0,471,4.27,4.3,2.64
0.42,Very Good,D,VS1,60.7,60.0,1066,4.81,4.88,2.94
0.53,Very Good,E,VS2,59.1,60.0,1647,5.3,5.26,3.12
0.35,Very Good,H,VS2,59.6,62.0,552,4.57,4.62,2.74
1.51,Premium,G,SI1,62.0,58.0,10020,7.31,7.26,4.52
1.01,Premium,G,VS1,62.7,58.0,6221,6.31,6.36,3.97
0.3,Ideal,G,SI2,62.0,55.0,422,4.28,4.33,2.67
0.4,Ideal,G,SI1,61.3,56.0,701,4.73,4.76,2.91
0.79,Ideal,D,SI1,61.3,54.0,3328,5.96,6.01,3.67
1.2,Very Good,F,VS2,63.5,57.0,8870,6.73,6.65,4.25
0.26,Very Good,F,VVS2,60.0,59.0,597,4.11,4.15,2.48
0.4,Premium,E,VS1,62.8,59.0,1125,4.67,4.63,2.92
0.51,Premium,E,VS2,61.7,58.0,1781,5.15,5.12,3.17
0.53,Ideal,F,VVS2,62.2,54.0,2290,5.22,5.19,3.24
0.31,Very Good,E,SI1,59.1,59.0,544,4.42,4.44,2.62
0.4,Ideal,H,VS2,61.9,55.0,725,4.73,4.75,2.93
0.7,Ideal,G,VS1,61.4,55.0,2573,5.74,5.69,3.51
1.02,Ideal,D,IF,63.0,57.0,15575,6.39,6.35,4.01
0.7,Good,J,SI2,58.7,58.0,1824,5.74,5.85,3.4
0.7,Premium,F,VS2,62.6,61.0,2717,5.66,5.61,3.53
0.55,Ideal,E,SI1,62.5,56.0,1609,5.21,5.25,3.27
0.5,Good,F,SI1,62.5,60.0,1223,5.07,5.11,3.18
1.11,Very Good,I,SI2,63.1,57.0,4075,6.59,6.54,4.14
0.96,Very Good,D,SI2,60.2,63.0,3419,6.36,6.3,3.81
0.9,Premium,G,SI1,60.6,62.0,2830,6.21,6.13,3.74
0.57,Ideal,E,VS2,61.0,54.0,2202,5.39,5.43,3.3
0.81,Ideal,E,VVS2,62.2,53.7,5373,5.97,5.99,3.72
1.03,Very Good,J,SI2,58.0,60.0,3729,6.64,6.67,3.86
0.41,Ideal,D,VS1,61.3,54.0,1151,4.8,4.83,2.95
1.69,Ideal,D,SI1,60.8,57.0,15011,7.69,7.71,4.68
0.64,Very Good,E,VVS2,61.8,59.0,3541,5.51,5.53,3.41
0.31,Very Good,D,SI1,63.5,56.0,732,4.31,4.29,2.73
1.03,Ideal,D,SI2,61.2,57.0,4679,6.51,6.59,4.01
1.64,Ideal,E,SI1,60.7,55.0,9801,7.67,7.64,4.65
0.53,Very Good,E,SI1,63.6,57.0,1432,5.12,5.16,3.27
1.51,Premium,H,VS2,60.2,60.0,10951,7.5,7.38,4.48
0.36,Ideal,H,VS1,61.8,57.0,810,4.6,4.56,2.83
0.56,Very Good,H,VS1,59.8,56.0,1688,5.35,5.38,3.21
0.41,Premium,E,SI1,62.8,59.0,969,4.75,4.74,2.98
1.55,Ideal,J,VS1,60.4,57.0,8548,7.52,7.54,4.55
0.7,Ideal,F,VS2,62.8,56.0,2573,5.7,5.67,3.57
0.9,Premium,I,SI1,63.0,58.0,2861,6.09,6.01,3.81
0.37,Very Good,F,VS2,59.2,61.0,696,4.63,4.69,2.76
0.35,Premium,J,VS1,62.4,58.0,949,5.67,5.64,3.53
0.3,Ideal,H,VVS2,62.6,55.0,605,4.25,4.28,2.67
1.51,Good,F,SI2,64.2,61.0,7695,7.24,7.19,4.63
1.59,Very Good,J,VS1,60.1,60.0,8515,7.56,7.59,4.55
0.35,Ideal,F,VS2,62.1,54.0,747,4.55,4.58,2.83
1.01,Very Good,I,VS2,61.3,56.0,4438,6.53,6.45,3.98
2.29,Ideal,J,SI2,61.8,56.4,13726,8.4,8.5,5.23
0.51,Very Good,G,IF,59.3,57.0,2084,5.25,5.31,3.13
0.51,Good,E,SI1,64.3,54.0,1624,5.1,5.07,3.27
1.06,Ideal,H,SI1,62.2,57.0,5143,6.56,6.49,4.06
0.3,Good,I,VS1,63.3,59.0,473,4.2,4.23,2.67
0.3,Ideal,D,SI1,61.7,56.0,552,4.31,4.35,2.67
0.3,Premium,I,IF,60.5,59.0,810,4.34,4.32,2.62
0.71,Very Good,J,SI2,61.1,58.0,1764,5.67,5.76,3.49
0.7,Good,D,VS2,64.1,59.0,3033,5.56,5.49,3.54
1.01,Very Good,F,VVS2,61.8,58.0,8922,6.44,6.48,3.99
0.36,Very Good,D,VS2,62.4,58.0,780,4.48,4.53,2.81
1.24,Premium,I,SI2,62.8,58.0,4375,6.88,6.79,4.28
0.77,Ideal,D,SI1,62.6,57.0,2949,5.81,5.92,3.67
0.41,Ideal,D,VS1,61.1,56.0,1427,4.8,4.83,2.94
0.48,Ideal,G,IF,61.9,55.0,1791,5.03,5.08,3.13
0.36,Ideal,D,SI1,61.9,55.7,713,4.57,4.59,2.84
0.82,Very Good,I,SI1,62.3,58.0,2602,5.94,6.0,3.72
0.71,Ideal,I,VS2,62.0,54.0,2272,5.73,5.77,3.56
0.7,Good,H,VVS2,58.9,61.5,2699,5.77,5.84,3.42
1.52,Ideal,D,VS2,62.1,58.0,15922,7.36,7.4,4.58
0.33,Ideal,H,VVS2,61.6,55.0,633,4.48,4.51,2.77
0.34,Premium,H,VS1,62.2,58.0,765,4.48,4.43,2.77
1.03,Ideal,F,VVS1,61.3,54.0,9881,6.56,6.62,4.04
0.9,Premium,D,SI2,58.8,59.0,3579,6.28,6.24,3.68
0.33,Premium,J,VS2,59.6,61.0,450,4.53,4.49,2.69
1.7,Premium,F,VS2,62.5,61.0,13737,7.54,7.45,4.69
0.34,Premium,D,SI1,59.6,59.0,803,4.57,4.55,2.72
0.35,Good,E,VS1,63.1,56.0,663,4.49,4.54,2.85
0.23,Very Good,E,VVS2,63.8,57.0,485,3.88,3.9,2.48
0.38,Ideal,E,VVS2,61.9,57.0,1100,4.63,4.65,2.87
1.2,Very Good,H,SI1,62.9,56.0,6019,6.74,6.8,4.26
0.51,Ideal,G,VS1,61.9,56.0,1656,5.1,5.14,3.17
1.12,Ideal,I,SI1,62.0,56.0,4829,6.69,6.64,4.13
0.28,Ideal,H,VVS2,61.6,56.0,514,4.22,4.26,2.61
0.3,Ideal,E,VVS1,61.1,56.0,918,4.36,4.38,2.67
0.56,Very Good,H,VVS2,59.8,57.0,1723,5.39,5.48,3.25
0.53,Very Good,G,VVS2,60.5,59.0,1724,5.24,5.29,3.19
1.57,Ideal,G,SI1,61.8,55.0,11702,7.49,7.43,4.61
0.7,Good,D,SI2,58.2,63.0,2583,5.78,5.83,3.38
0.33,Ideal,F,IF,61.2,56.0,1240,4.47,4.49,2.74
0.32,Ideal,E,VS2,62.0,57.0,702,4.39,4.41,2.73
1.26,Ideal,G,VVS2,60.7,56.0,10556,7.05,7.03,4.27
0.7,Premium,F,SI1,62.5,59.0,2333,5.65,5.67,3.54
2.3,Premium,J,SI1,59.6,59.0,12499,8.61,8.56,5.12
1.5,Ideal,I,I1,61.8,57.0,5510,7.39,7.31,4.54
0.92,Ideal,E,SI2,62.3,56.0,4871,6.21,6.25,3.88
0.72,Ideal,F,VS1,61.1,56.0,3265,5.76,5.79,3.53
0.3,Very Good,I,VVS1,60.5,60.0,552,4.32,4.34,2.62
0.27,Ideal,E,VS2,62.7,55.0,470,4.15,4.18,2.61
0.52,Ideal,H,IF,61.4,56.0,2441,5.19,5.23,3.2
0.29,Premium,E,SI1,58.4,60.0,548,4.34,4.32,2.53
2.05,Ideal,G,SI1,61.9,57.0,18787,8.1,8.16,5.03
1.0,Very Good,I,VS2,61.9,59.0,5020,6.35,6.38,3.94
0.51,Ideal,F,VVS2,60.4,56.0,2054,5.18,5.22,3.14
0.55,Ideal,D,VS1,61.7,55.0,1990,5.26,5.25,3.24
0.23,Very Good,F,VVS2,61.9,59.0,530,3.94,3.97,2.45
0.6,Good,J,VS1,58.9,60.5,1306,5.5,5.57,3.26
0.23,Very Good,F,VVS1,62.8,54.0,583,3.92,3.94,2.47
0.71,Premium,G,VS2,60.4,61.0,2515,5.81,5.77,3.5
0.57,Ideal,F,VS2,59.2,57.0,1637,5.45,5.5,3.24
0.41,Ideal,D,SI2,62.6,57.0,841,4.77,4.72,2.97
1.01,Ideal,F,VVS2,61.0,57.0,8688,6.52,6.46,3.96
0.57,Premium,E,SI2,61.0,60.0,1320,5.36,5.32,3.26
0.26,Ideal,H,VS1,62.2,55.0,482,4.12,4.14,2.57
1.59,Premium,H,VS2,62.1,58.0,11437,7.48,7.42,4.63
1.2,Very Good,H,I1,58.6,57.0,3696,6.96,7.01,4.09
1.55,Ideal,E,SI1,61.5,56.0,13291,7.4,7.36,4.54
0.32,Ideal,G,VS2,62.0,57.0,720,4.41,4.39,2.73
0.7,Good,F,SI1,63.1,57.0,2161,5.61,5.65,3.55
1.58,Premium,I,VS1,61.1,59.0,10618,7.52,7.44,4.57
0.9,Fair,G,I1,65.1,58.0,1939,6.05,5.99,3.92
0.71,Very Good,E,VVS2,61.7,60.0,3376,5.7,5.74,3.53
0.43,Good,H,VVS1,60.0,61.0,1000,4.91,4.93,2.95
0.31,Very Good,H,VS1,62.9,58.0,544,4.31,4.34,2.72
1.34,Ideal,G,VS2,61.9,56.0,9401,7.1,7.05,4.38
0.3,Ideal,G,VVS1,61.5,55.0,764,4.33,4.35,2.67
0.36,Ideal,F,SI1,61.1,57.0,551,4.57,4.6,2.8
0.9,Premium,H,VS2,61.6,58.0,4032,6.26,6.18,3.83
1.01,Very Good,J,SI2,63.3,53.0,3088,6.35,6.31,4.01
0.54,Very Good,G,SI1,62.2,57.0,1241,5.17,5.22,3.23
0.3,Ideal,G,VVS2,62.0,57.0,684,4.29,4.32,2.67
0.33,Premium,H,VVS2,61.6,58.0,854,4.45,4.42,2.73
0.37,Premium,E,VS2,63.0,58.0,1041,4.58,4.53,2.87
1.02,Fair,I,SI1,53.0,63.0,2856,6.84,6.77,3.66
0.31,Ideal,G,VS2,61.7,57.0,-1,4.33,4.36,2.68
1.18,Ideal,G,VS2,60.9,56.0,7439,6.8,6.85,4.16
1.02,Premium,D,SI1,62.3,59.0,5998,6.42,6.38,3.99
1.13,Ideal,I,VS1,61.9,55.0,6980,6.67,6.7,4.14
0.41,Ideal,H,SI1,62.6,55.0,683,4.77,4.79,2.99
0.32,Ideal,D,SI1,62.0,57.0,589,4.37,4.4,2.72
1.04,Premium,H,VVS2,59.1,60.0,6278,6.66,6.6,3.92
1.51,Very Good,I,SI1,63.5,57.0,8214,7.19,7.24,4.58
1.15,Ideal,F,VVS2,62.7,57.0,10757,6.69,6.65,4.18
0.23,Very Good,E,VVS2,61.4,62.0,505,3.9,3.95,2.41
0.31,Ideal,D,SI1,62.0,55.0,571,4.36,4.38,2.71
0.4,Premium,I,SI1,59.8,57.0,765,4.83,4.8,2.88
1.04,Premium,E,SI2,61.0,60.0,4240,6.57,6.52,3.99
0.7,Premium,H,SI1,60.3,55.0,2176,5.8,5.75,3.48
0.23,Ideal,G,VS1,61.6,55.0,384,3.96,3.99,2.45
1.62,Premium,F,SI2,61.6,60.0,9106,7.52,7.55,4.64
0.53,Premium,I,VS1,62.3,58.0,1383,5.26,5.18,3.25
0.23,Very Good,E,VVS2,62.1,62.0,485,3.91,3.95,2.44
0.41,Ideal,F,VVS1,61.8,57.0,1295,4.75,4.79,2.95
0.57,Very Good,D,VVS1,62.8,56.0,3126,5.27,5.31,3.32
1.27,Good,F,I1,59.2,64.0,4324,7.06,6.99,4.16
0.59,Very Good,E,VS2,59.4,63.0,2145,5.42,5.46,3.23
0.4,Premium,F,VVS2,60.8,59.0,1088,4.71,4.73,2.87
1.02,Premium,F,VS1,62.0,59.0,7485,6.41,6.39,3.97
0.53,Ideal,I,SI2,61.8,55.0,844,5.22,5.26,3.24
0.37,Ideal,H,VVS1,62.0,53.0,815,4.63,4.66,2.88
2.03,Premium,E,SI2,61.5,59.0,18310,8.16,8.24,5.04
2.01,Premium,E,SI2,62.2,60.0,13387,8.02,7.96,4.97
0.7,Premium,E,SI1,61.8,59.0,2396,5.63,5.57,3.46
1.27,Premium,G,VS2,61.0,60.0,8705,6.97,6.93,4.24
1.01,Premium,F,VS1,62.5,58.0,7602,6.42,6.37,4.0
0.31,Ideal,F,IF,62.2,54.0,914,4.37,4.41,2.73
1.5,Ideal,H,VS2,62.2,57.0,10886,7.33,7.27,4.54
1.04,Premium,E,VVS1,60.9,58.0,11279,6.53,6.61,4.0
0.33,Good,I,VS1,63.1,56.0,521,4.38,4.4,2.77
0.38,Premium,I,VS1,59.9,60.0,700,4.66,4.72,2.81
0.32,Ideal,E,VS1,61.6,55.0,898,4.43,4.46,2.74
1.35,Ideal,G,VS1,62.2,57.0,10244,7.09,7.05,4.4
0.4,Ideal,G,VS1,62.4,57.0,1125,4.74,4.72,2.95
0.79,Good,F,SI1,58.1,59.0,2756,6.06,6.13,3.54
1.01,Ideal,F,VS1,63.2,56.0,7209,6.35,6.41,4.03
1.01,Premium,I,SI2,59.4,57.0,3971,6.59,6.57,3.91
1.08,Very Good,G,SI2,60.3,58.0,4362,6.65,6.72,4.03
0.52,Premium,D,VS2,60.6,56.0,1919,5.25,5.22,3.17
1.01,Ideal,E,SI2,61.9,56.0,4832,6.43,6.46,3.99
1.55,Very Good,H,SI2,62.5,61.0,8174,7.31,7.34,4.58
0.46,Fair,E,VS2,66.8,61.0,1070,4.84,4.71,3.2
0.91,Very Good,D,SI2,63.4,59.0,3911,6.12,6.15,3.89
0.31,Ideal,E,VS2,62.0,56.0,589,4.36,4.38,2.71
0.31,Ideal,G,SI2,62.0,54.0,436,4.38,4.42,2.73
1.5,Good,G,SI2,57.9,61.0,8144,7.47,7.51,4.34
0.4,Premium,G,VS2,62.8,61.0,1035,4.67,4.63,2.92
1.51,Premium,H,VS2,62.9,59.0,11268,7.31,7.25,4.58
0.72,Ideal,G,VS1,61.8,56.0,3478,5.74,5.76,3.55
0.3,Very Good,G,SI1,59.8,57.0,447,4.32,4.37,2.6
0.56,Premium,H,VS2,62.2,60.0,1432,5.28,5.23,3.27
1.25,Premium,E,SI1,60.9,59.0,7260,6.98,7.02,4.26
0.53,Ideal,E,SI1,61.9,55.0,1585,5.2,5.24,3.23
0.3,Ideal,E,SI1,61.6,54.0,499,4.32,4.35,2.67
0.5,Premium,D,SI1,61.2,60.0,1654,5.14,5.09,3.13
0.69,Fair,G,VS1,61.2,65.4,2235,5.58,5.64,3.42
0.3,Good,D,SI2,63.4,56.0,447,4.26,4.29,2.71
1.2,Fair,F,I1,64.6,56.0,2809,6.73,6.66,4.33
0.3,Ideal,D,VS1,62.2,56.0,835,4.31,4.27,2.67
0.3,Premium,H,VVS2,62.0,58.0,776,4.35,4.3,2.68
0.31,Premium,E,VS2,61.0,59.0,872,4.39,4.33,2.66
0.3,Ideal,F,IF,62.0,56.0,1013,4.34,4.3,2.68
0.31,Very Good,H,VS2,62.5,54.0,489,4.35,4.39,2.73
0.7,Premium,F,SI1,61.9,58.0,2319,5.69,5.65,3.51
0.23,Very Good,F,VVS2,60.4,61.0,465,3.92,3.96,2.38
